,act,char,title
0,Heath Ledger,Patrick Verona,10 Things I Hate About You
1,Julia Stiles,Katarina Stratford,10 Things I Hate About You
2,Joseph Gordon-Levitt,Cameron James,10 Things I Hate About You
3,Larisa Oleynik,Bianca Stratford,10 Things I Hate About You
4,David Krumholtz,Michael Eckman,10 Things I Hate About You
5,Andrew Keegan,Joey Donner,10 Things I Hate About You
6,Susan May Pratt,Mandella,10 Things I Hate About You
7,Gabrielle Union,Chastity,10 Things I Hate About You
8,Larry Miller,Walter Stratford,10 Things I Hate About You
9,Daryl Mitchell,Mr. Morgan,10 Things I Hate About You
10,Allison Janney,Ms. Perky,10 Things I Hate About You
11,David Leisure,Mr. Chapin,10 Things I Hate About You
12,Greg Jackson,Scruvy,10 Things I Hate About You
13,Kyle Cease,Bogey Lowenstein,10 Things I Hate About You
14,Terence Heuston,Derek,10 Things I Hate About You
15,Cameron Fraser,Trevor,10 Things I Hate About You
16,Eric Riedmann,Audio Visual Guy,10 Things I Hate About You
17,Quinn Maixner,Beautiful Jock,10 Things I Hate About You
18,Demegio Kimbrough,Coffee Kid,10 Things I Hate About You
19,Todd Butler,Coffee Kid,10 Things I Hate About You
20,Dennis Mosley,Cohort,10 Things I Hate About You
21,Bianca Kajlich,Coffee Girl,10 Things I Hate About You
22,Nick Vukelic,Drugged Out Loser,10 Things I Hate About You
23,Ben Laurance,Wimpy Loser,10 Things I Hate About You
24,Aidan Kennedy,Laughing Loser,10 Things I Hate About You
25,Jelani Quinn,Crying Loser,10 Things I Hate About You
26,Jesse Dyer,Screaming Loser,10 Things I Hate About You
27,Aaron Therol,Detention Student,10 Things I Hate About You
28,Carlos Lacamara,Bartender,10 Things I Hate About You
29,Joshua Thorpe,Jock,10 Things I Hate About You
30,J.R. Johnson,MBA Guy at Party,10 Things I Hate About You
31,Wendy Gottlieb,Heather,10 Things I Hate About You
32,Brian Hood,Clem,10 Things I Hate About You
33,Travis Muller,Cowboy,10 Things I Hate About You
34,Ari Karczag,Kissing Guy,10 Things I Hate About You
35,Laura Kenny,Judith,10 Things I Hate About You
36,Alice Evans,Perky Girl,10 Things I Hate About You
37,Jesper Inglis,Buckaroo Bartender,10 Things I Hate About You
38,Nick Brown,Biker,10 Things I Hate About You
39,Monique Powell,Save Ferris Singer,10 Things I Hate About You
40,Brian Mashburn,Save Ferris Singer,10 Things I Hate About You
41,Kay Hanley,Letters To Cleo Singer,10 Things I Hate About You
42,Michael Eisenstein,Letters To Cleo Singer,10 Things I Hate About You
43,Michelle Babin,Girl in Night Club,10 Things I Hate About You
44,Tim Bennett,School Administrator,10 Things I Hate About You
45,Shelsie Blake,Bookstore Patron,10 Things I Hate About You
46,Greg Bronson,Chef,10 Things I Hate About You
47,Frank Caraan,Marching Band Leader,10 Things I Hate About You
48,James Huffman,Student,10 Things I Hate About You
49,Gil Junger,Teacher,10 Things I Hate About You
50,Daniel Kountz,Admirer #1,10 Things I Hate About You
